,"taxon.name","variable.units","variable.element","variable.context","taxon.group","ecological.group","alias","match"
"50400","Alismataceae","NISP","pollen","NA","Vascular plants","AQVP","NA",
"9155","Alismataceae undiff.","NISP","pollen","NA","Vascular plants","AQVP","NA",
"1648","Araceae subf. Lemnoideae","NISP","pollen","NA","Vascular plants","AQVP","Araceae subf. Lemnoideae",
"15197","Araceae subf. Lemnoideae","NISP","pollen","NA","Vascular plants","AQVP","NA",
"33475","Brasenia","NISP","pollen","NA","Vascular plants","AQVP","Brasenia",
"35801","Brasenia","NISP","pollen","NA","Vascular plants","AQVP","NA",
"404","Brasenia schreberi","NISP","pollen","NA","Vascular plants","AQVP","Brasenia schreberi",
"795","Brasenia schreberi","NISP","pollen","NA","Vascular plants","AQVP","NA",
"18772","Butomus umbellatus","NISP","pollen","NA","Vascular plants","AQVP","Butomus umbellatus",
"42229","Cabomba","NISP","pollen","NA","Vascular plants","AQVP","NA",
"385","Calla palustris","NISP","pollen","NA","Vascular plants","AQVP","NA",
"15864","Calla palustris","NISP","pollen","NA","Vascular plants","AQVP","Calla palustris",
"4858","Callitriche","NISP","pollen","NA","Vascular plants","AQVP","Callitriche",
"44064","Callitriche","NISP","pollen","NA","Vascular plants","AQVP","NA",
"1787","Caltha","NISP","pollen","NA","Vascular plants","AQVP","NA",
"3950","Caltha","NISP","pollen","NA","Vascular plants","AQVP","Caltha",
"39561","Caltha palustris","NISP","pollen","NA","Vascular plants","AQVP","Caltha palustris",
"42221","Caltha palustris","NISP","pollen","NA","Vascular plants","AQVP","NA",
"4866","Ceratophyllum","NISP","leaf spine","NA","Vascular plants","AQVP","Ceratophyllum",
"40552","Ceratophyllum","NISP","pollen","NA","Vascular plants","AQVP","NA",
"503","cf. Callitriche","NISP","pollen","NA","Vascular plants","AQVP","cf. Callitriche",
"13636","cf. Decodon verticillatus","NISP","pollen","NA","Vascular plants","AQVP","NA",
"50525","cf. Hottonia palustris","NISP","pollen","NA","Vascular plants","AQVP","NA",
"13658","cf. Nymphaea","NISP","pollen","NA","Vascular plants","AQVP","NA",
"9366","cf. Scheuchzeria palustris","NISP","pollen","NA","Vascular plants","AQVP","cf. Scheuchzeria palustris",
"47197","cf. Utricularia","NISP","pollen","NA","Vascular plants","AQVP","NA",
"37710","Cladium","NISP","pollen","NA","Vascular plants","AQVP","NA",
"43167","Cladium","NISP","pollen","NA","Vascular plants","AQVP","Cladium",
"30518","Cladium mariscoides","NISP","pollen","NA","Vascular plants","AQVP","NA",
"37906","Cladium-type","NISP","pollen","NA","Vascular plants","AQVP","NA",
"27253","Comarum cf. C. palustre","NISP","pollen","NA","Vascular plants","AQVP","NA",
"21022","Comarum palustre","NISP","pollen","NA","Vascular plants","AQVP","NA",
"1646","Cyperaceae cf. Rhynchospora alba","NISP","pollen","NA","Vascular plants","AQVP","Cyperaceae cf. Rhynchospora alba",
"3845","Decodon verticillatus","NISP","pollen","NA","Vascular plants","AQVP","NA",
"27667","Decodon verticillatus","NISP","pollen","NA","Vascular plants","AQVP","Decodon verticillatus",
"981","Drosera","NISP","pollen","NA","Vascular plants","AQVP","Drosera",
"4226","Drosera","NISP","pollen","NA","Vascular plants","AQVP","NA",
"4683","Drosera rotundifolia-type","NISP","pollen","NA","Vascular plants","AQVP","Drosera rotundifolia-type",
"9156","Echinodorus","NISP","pollen","NA","Vascular plants","AQVP","NA",
"35845","Elodea","NISP","pollen","NA","Vascular plants","AQVP","Elodea",
"37621","Elodea","NISP","pollen","NA","Vascular plants","AQVP","NA",
"50135","Elodea-type","NISP","pollen","NA","Vascular plants","AQVP","NA",
"560","Eriocaulon","NISP","pollen","NA","Vascular plants","AQVP","Eriocaulon",
"9083","Eriocaulon","NISP","pollen","NA","Vascular plants","AQVP","NA",
"46917","Eriocaulon aquaticum","NISP","pollen","NA","Vascular plants","AQVP","Eriocaulon aquaticum",
"35605","Eriophorum","NISP","pollen","NA","Vascular plants","AQVP","NA",
"37912","Haloragaceae","NISP","pollen","NA","Vascular plants","AQVP","NA",
"3256","Heteranthera","NISP","pollen","NA","Vascular plants","AQVP","NA",
"28377","Heteranthera","NISP","pollen","NA","Vascular plants","AQVP","Heteranthera",
"35807","Hippuris","NISP","pollen","NA","Vascular plants","AQVP","NA",
"49660","Hippuris","NISP","pollen","NA","Vascular plants","AQVP","Hippuris",
"1790","Hippuris vulgaris","NISP","pollen","NA","Vascular plants","AQVP","NA",
"3335","Hippuris vulgaris","NISP","pollen","NA","Vascular plants","AQVP","Hippuris vulgaris",
"50644","Hydrocharis","NISP","pollen","NA","Vascular plants","AQVP","NA",
"50143","Hydrocharitaceae","NISP","pollen","NA","Vascular plants","AQVP","NA",
"15827","Hydrocotyle","NISP","pollen","NA","Vascular plants","AQVP","Hydrocotyle",
"37872","Hydrocotyle","NISP","pollen","NA","Vascular plants","AQVP","NA",
"66","Isoëtes","NISP","spore","NA","Vascular plants","AQVP","NA",
"412","Isoëtes","NISP","spore","NA","Vascular plants","AQVP","Isoëtes",
"3555","Isoëtes echinospora","NISP","spore","NA","Vascular plants","AQVP","NA",
"31985","Isoëtes echinospora","NISP","spore","NA","Vascular plants","AQVP","Isoëtes echinospora",
"2849","Isoëtes lacustris","NISP","spore","NA","Vascular plants","AQVP","NA",
"2850","Isoëtes undiff.","NISP","spore","NA","Vascular plants","AQVP","NA",
"24343","Juncus","NISP","pollen","NA","Vascular plants","AQVP","NA",
"151","Lemna","NISP","pollen","NA","Vascular plants","AQVP","NA",
"989","Lemna","NISP","pollen","NA","Vascular plants","AQVP","Lemna",
"39673","Lemna-type","NISP","pollen","NA","Vascular plants","AQVP","Lemna-type",
"39707","Lemna-type","NISP","pollen","NA","Vascular plants","AQVP","NA",
"5640","Lentibulariaceae","NISP","pollen","NA","Vascular plants","AQVP","NA",
"44028","Limonium carolinianum","NISP","pollen","NA","Vascular plants","AQVP","NA",
"16416","Littorella uniflora","NISP","pollen","NA","Vascular plants","AQVP","Littorella uniflora",
"3736","Ludwigia","NISP","pollen","NA","Vascular plants","AQVP","Ludwigia",
"35258","Menyanthes","NISP","pollen","NA","Vascular plants","AQVP","NA",
"49822","Menyanthes","NISP","pollen","NA","Vascular plants","AQVP","Menyanthes",
"45","Menyanthes trifoliata","NISP","pollen","NA","Vascular plants","AQVP","Menyanthes trifoliata",
"223","Menyanthes trifoliata","NISP","pollen","NA","Vascular plants","AQVP","NA",
"110","Myriophyllum","NISP","pollen","NA","Vascular plants","AQVP","NA",
"446","Myriophyllum","NISP","pollen","NA","Vascular plants","AQVP","Myriophyllum",
"1391","Myriophyllum alterniflorum","NISP","pollen","NA","Vascular plants","AQVP","Myriophyllum alterniflorum",
"13291","Myriophyllum alterniflorum","NISP","pollen","NA","Vascular plants","AQVP","NA",
"1565","Myriophyllum alterniflorum-type","NISP","pollen","NA","Vascular plants","AQVP","NA",
"49912","Myriophyllum sibiricum","NISP","pollen","NA","Vascular plants","AQVP","NA",
"310","Myriophyllum sibiricum-type","NISP","pollen","NA","Vascular plants","AQVP","NA",
"3331","Myriophyllum sibiricum-type","NISP","pollen","NA","Vascular plants","AQVP","Myriophyllum sibiricum-type",
"1401","Myriophyllum undiff.","NISP","pollen","NA","Vascular plants","AQVP","Myriophyllum undiff.",
"19106","Myriophyllum verticillatum-type","NISP","pollen","NA","Vascular plants","AQVP","NA",
"50047","Myriophyllum-type","NISP","pollen","NA","Vascular plants","AQVP","NA",
"68","Nuphar","NISP","pollen","NA","Vascular plants","AQVP","NA",
"511","Nuphar","NISP","pollen","NA","Vascular plants","AQVP","Nuphar",
"49957","Nuphar","NISP digitized","pollen","NA","Vascular plants","AQVP","NA",
"312","Nymphaea","NISP","pollen","NA","Vascular plants","AQVP","NA",
"846","Nymphaea","NISP","pollen","NA","Vascular plants","AQVP","Nymphaea",
"7072","Nymphaeaceae","NISP","leaf-hair base","NA","Vascular plants","AQVP","NA",
"13032","Nymphaeaceae","NISP","pollen","NA","Vascular plants","AQVP","Nymphaeaceae",
"22539","Nymphaeaceae","NISP","pollen","NA","Vascular plants","AQVP","NA",
"7076","Nymphaeaceae undiff.","NISP","pollen","NA","Vascular plants","AQVP","NA",
"8495","Nymphaeaceae undiff.","NISP","pollen","NA","Vascular plants","AQVP","Nymphaeaceae undiff.",
"8262","Nymphoides","NISP","pollen","NA","Vascular plants","AQVP","Nymphoides",
"38176","Nymphoides","NISP","pollen","NA","Vascular plants","AQVP","NA",
"50568","Nymphoides-type","NISP","pollen","NA","Vascular plants","AQVP","NA",
"16891","Pinguicula cf. P. villosa","NISP","pollen","NA","Vascular plants","AQVP","Pinguicula cf. P. villosa",
"15473","Pontederia","NISP","pollen","NA","Vascular plants","AQVP","Pontederia",
"37896","Pontederia","NISP","pollen","NA","Vascular plants","AQVP","NA",
"18658","Pontederiaceae","NISP","pollen","NA","Vascular plants","AQVP","NA",
"22301","Pontederiaceae","NISP","pollen","NA","Vascular plants","AQVP","Pontederiaceae",
"335","Potamogeton","NISP","pollen","NA","Vascular plants","AQVP","NA",
"4446","Potamogeton","NISP","pollen","NA","Vascular plants","AQVP","Potamogeton",
"49949","Potamogeton","NISP digitized","pollen","NA","Vascular plants","AQVP","NA",
"48677","Potamogeton natans","NISP","pollen","NA","Vascular plants","AQVP","Potamogeton natans",
"50633","Potamogeton natans-type","NISP","pollen","NA","Vascular plants","AQVP","NA",
"50588","Potamogeton pectinatus-type","NISP","pollen","NA","Vascular plants","AQVP","NA",
"34162","Potamogeton-type","NISP","pollen","NA","Vascular plants","AQVP","Potamogeton-type",
"40949","Potamogeton/Triglochin","NISP","pollen","NA","Vascular plants","AQVP","NA",
"43197","Potamogeton/Triglochin","NISP","pollen","NA","Vascular plants","AQVP","Potamogeton/Triglochin",
"116","Potamogetonaceae","NISP","pollen","NA","Vascular plants","AQVP","NA",
"449","Potamogetonaceae","NISP","pollen","NA","Vascular plants","AQVP","Potamogetonaceae",
"10717","Potamogetonaceae undiff.","NISP","pollen","NA","Vascular plants","AQVP","NA",
"18823","Potamogetonaceae undiff.","NISP","pollen","NA","Vascular plants","AQVP","Potamogetonaceae undiff.",
"1948","Potamogetonaceae-type","NISP","pollen","NA","Vascular plants","AQVP","NA",
"2938","Potamogetonaceae/Triglochin","NISP","pollen","NA","Vascular plants","AQVP","Potamogetonaceae/Triglochin",
"546","Potamogetonaceae/Triglochin undiff.","NISP","pollen","NA","Vascular plants","AQVP","Potamogetonaceae/Triglochin undiff.",
"42091","Proserpinaca","NISP","pollen","NA","Vascular plants","AQVP","NA",
"42421","Ranunculus aquatilis","NISP","pollen","NA","Vascular plants","AQVP","NA",
"4878","Ranunculus aquatilis-type","NISP","pollen","NA","Vascular plants","AQVP","Ranunculus aquatilis-type",
"26789","Ranunculus aquatilis-type","NISP","pollen","NA","Vascular plants","AQVP","NA",
"9924","Ranunculus subg. Batrachium","NISP","pollen","NA","Vascular plants","AQVP","Ranunculus subg. Batrachium",
"18400","Ranunculus subg. Batrachium","NISP","pollen","NA","Vascular plants","AQVP","NA",
"39211","Ranunculus trichophyllus-type","NISP","pollen","NA","Vascular plants","AQVP","NA",
"21882","Rhynchospora","NISP","pollen","NA","Vascular plants","AQVP","Rhynchospora",
"19132","Rhynchospora alba","NISP","pollen","NA","Vascular plants","AQVP","NA",
"35965","Rhynchospora-type","NISP","pollen","NA","Vascular plants","AQVP","Rhynchospora-type",
"38767","Rorippa","NISP","pollen","NA","Vascular plants","AQVP","NA",
"49883","Rorippa","NISP","pollen","NA","Vascular plants","AQVP","Rorippa",
"33689","Ruppia","NISP","pollen","NA","Vascular plants","AQVP","Ruppia",
"36081","Ruppia","NISP","pollen","NA","Vascular plants","AQVP","NA",
"4801","Ruppia maritima","NISP","pollen","NA","Vascular plants","AQVP","Ruppia maritima",
"7540","Ruppia maritima","NISP","pollen","NA","Vascular plants","AQVP","NA",
"155","Sagittaria","NISP","pollen","NA","Vascular plants","AQVP","NA",
"564","Sagittaria","NISP","pollen","NA","Vascular plants","AQVP","Sagittaria",
"51559","Sagittaria sagittifolia","NISP","pollen","NA","Vascular plants","AQVP","NA",
"1231","Sarracenia","NISP","pollen","NA","Vascular plants","AQVP","Sarracenia",
"1275","Sarracenia","NISP","pollen","NA","Vascular plants","AQVP","NA",
"4702","Sarracenia purpurea","NISP","pollen","NA","Vascular plants","AQVP","Sarracenia purpurea",
"41747","Scheuchzeria","NISP","pollen","NA","Vascular plants","AQVP","Scheuchzeria",
"358","Scheuchzeria palustris","NISP","pollen","NA","Vascular plants","AQVP","NA",
"12174","Scheuchzeria palustris","NISP","pollen","NA","Vascular plants","AQVP","Scheuchzeria palustris",
"3523","Sparganium","NISP","pollen","NA","Vascular plants","AQVP","NA",
"13079","Sparganium","NISP","pollen","NA","Vascular plants","AQVP","Sparganium",
"56","Sparganium-type","NISP","pollen","NA","Vascular plants","AQVP","Sparganium-type",
"121","Sparganium-type","NISP","pollen","NA","Vascular plants","AQVP","NA",
"1033","Spermatophyta undiff. (aquatics)","NISP","pollen","NA","Vascular plants","AQVP","NA",
"13696","Spermatophyta undiff. (aquatics)","NISP","pollen","NA","Vascular plants","AQVP","Spermatophyta undiff. (aquatics)",
"49705","Stratiotes","NISP","pollen","NA","Vascular plants","AQVP","Stratiotes",
"46960","Stratiotes aloides","NISP","pollen","NA","Vascular plants","AQVP","Stratiotes aloides",
"374","Stuckenia","NISP","pollen","NA","Vascular plants","AQVP","NA",
"4789","Stuckenia","NISP","pollen","NA","Vascular plants","AQVP","Stuckenia",
"48681","Stuckenia cf. S. pectinata","NISP","pollen","NA","Vascular plants","AQVP","Stuckenia cf. S. pectinata",
"49681","Trapa","NISP","pollen","NA","Vascular plants","AQVP","Trapa",
"11850","Triglochin","NISP","pollen","NA","Vascular plants","AQVP","NA",
"21922","Triglochin","NISP","pollen","NA","Vascular plants","AQVP","Triglochin",
"38777","Triglochin maritima","NISP","pollen","NA","Vascular plants","AQVP","NA",
"3543","Typha","NISP","pollen","NA","Vascular plants","AQVP","NA",
"10307","Typha","NISP","pollen","NA","Vascular plants","AQVP","Typha",
"49953","Typha","NISP digitized","pollen","NA","Vascular plants","AQVP","NA",
"34098","Typha (tetrad)","NISP","pollen","NA","Vascular plants","AQVP","NA",
"49862","Typha (tetrad)","NISP","pollen","NA","Vascular plants","AQVP","Typha (tetrad)",
"49129","Typha angustata","NISP","pollen","NA","Vascular plants","AQVP","NA",
"522","Typha angustifolia","NISP","pollen","NA","Vascular plants","AQVP","Typha angustifolia",
"24939","Typha angustifolia","NISP","pollen","NA","Vascular plants","AQVP","NA",
"5630","Typha angustifolia-type","NISP","pollen","NA","Vascular plants","AQVP","NA",
"48674","Typha angustifolia-type","NISP","pollen","NA","Vascular plants","AQVP","Typha angustifolia-type",
"12778","Typha angustifolia/Sparganium","NISP","pollen","NA","Vascular plants","AQVP","NA",
"25","Typha latifolia","NISP","pollen","NA","Vascular plants","AQVP","Typha latifolia",
"124","Typha latifolia","NISP","pollen","NA","Vascular plants","AQVP","NA",
"22081","Typha latifolia-type","NISP","pollen","NA","Vascular plants","AQVP","NA",
"539","Typha undiff.","NISP","pollen","NA","Vascular plants","AQVP","Typha undiff.",
"1305","Typha undiff.","NISP","pollen","NA","Vascular plants","AQVP","NA",
"457","Typha/Sparganium","NISP","pollen","NA","Vascular plants","AQVP","Typha/Sparganium",
"1451","Typha/Sparganium","NISP","pollen","NA","Vascular plants","AQVP","NA",
"516","Typha/Sparganium undiff.","NISP","pollen","NA","Vascular plants","AQVP","Typha/Sparganium undiff.",
"2574","Typha/Sparganium undiff.","NISP","pollen","NA","Vascular plants","AQVP","NA",
"49653","Typhaceae","NISP","pollen","NA","Vascular plants","AQVP","Typhaceae",
"50138","Typhaceae","NISP","pollen","NA","Vascular plants","AQVP","NA",
"330","Utricularia","NISP","pollen","NA","Vascular plants","AQVP","NA",
"1151","Utricularia","NISP","pollen","NA","Vascular plants","AQVP","Utricularia",
"37342","Utricularia vulgaris","NISP","pollen","NA","Vascular plants","AQVP","NA",
"50654","Viola palustris","NISP","pollen","NA","Vascular plants","AQVP","NA",
"49285","Viola palustris-type","NISP","pollen","NA","Vascular plants","AQVP","Viola palustris-type",
"44966","Zizania aquatica","NISP","pollen","NA","Vascular plants","AQVP","Zizania aquatica",
"50620","Zizania aquatica","NISP","pollen","NA","Vascular plants","AQVP","NA",
"24957","Betula mean pollen-grain diameter","µm","NA","NA","Biometric variables","BIOM","NA",
"39221","Charcoal","number","fragment","NA","Charcoal","CHAR","NA",
"48712","Charcoal","number","fragment","NA","Charcoal","CHAR","Charcoal",
"50854","Charcoal","NISP","fragment","NA","Charcoal","CHAR","NA",
"353","Dinoflagellata","NISP","cyst","anachronic","Dinoflagellates","DINO","NA",
"9616","Dinoflagellata","NISP","cyst","NA","Dinoflagellates","DINO","Dinoflagellata",
"27240","Dinoflagellata","NISP","cyst","NA","Dinoflagellates","DINO","NA",
"32045","Dinoflagellata","NISP","cyst","anachronic","Dinoflagellates","DINO","Dinoflagellata|anachronic|cyst|NISP",
"32046","Dinoflagellata","NISP","cyst","NA","Dinoflagellates","DINO","Dinoflagellata|NA|cyst|NISP",
"50534","Dinoflagellata","NISP","hystrichosphere cyst","NA","Dinoflagellates","DINO","NA",
"11852","Dinoflagellata (marine)","NISP","cyst","NA","Dinoflagellates","DINO","NA",
"50528","Cladosporium","NISP","spore","NA","Fungi","FUNG","NA",
"20137","Fungi","NISP","spore","NA","Fungi","FUNG","NA",
"40916","Glomus","NISP","spore","NA","Fungi","FUNG","NA",
"49369","Helicoma","NISP","spore","NA","Fungi","FUNG","Helicoma",
"50037","Meliola","NISP","spore","NA","Fungi","FUNG","NA",
"49352","Podospora","NISP","spore","NA","Fungi","FUNG","Podospora",
"37511","Sporormiella","NISP","spore","NA","Fungi","FUNG","NA",
"49331","Sporormiella","NISP","spore","NA","Fungi","FUNG","Sporormiella",
"39327","Tilletia","NISP","spore","NA","Fungi","FUNG","NA",
"13704","Tilletia sphagni","NISP","spore","NA","Fungi","FUNG","Tilletia sphagni",
"23610","Tilletia sphagni","NISP","spore","NA","Fungi","FUNG","NA",
"466","Author's pollen sum","NISP","NA","NA","Laboratory analyses","LABO","Author's pollen sum",
"6259","Author's pollen sum","NISP","NA","NA","Laboratory analyses","LABO","NA",
"4755","Corroded, degraded, or thinned","NISP","pollen/spore","NA","Laboratory analyses","LABO","Corroded, degraded, or thinned",
"4757","Crumpled or broken","NISP","pollen/spore","NA","Laboratory analyses","LABO","Crumpled or broken",
"407","Eucalyptus spike","number","counted","NA","Laboratory analyses","LABO","Eucalyptus spike",
"1002","Eucalyptus spike","number","counted","NA","Laboratory analyses","LABO","NA",
"15131","Eucalyptus spike","number","counted","NA","Laboratory analyses","LABO","Eucalyptus spike|counted|number",
"15132","Eucalyptus spike","number","quantity added","NA","Laboratory analyses","LABO","Eucalyptus spike|quantity added|number",
"35191","Eucalyptus spike","NISP","pollen","NA","Laboratory analyses","LABO","NA",
"48947","Eucalyptus spike","NISP","pollen","NA","Laboratory analyses","LABO","Eucalyptus spike",
"51306","Eucalyptus spike","grains/ml","concentration","NA","Laboratory analyses","LABO","Eucalyptus spike|concentration|grains/ml|concentration|grains/ml",
"51307","Eucalyptus spike","ml","quantity added","NA","Laboratory analyses","LABO","Eucalyptus spike|quantity added|ml|quantity added|ml",
"51308","Eucalyptus spike","number","counted","NA","Laboratory analyses","LABO","Eucalyptus spike|counted|number|counted|number",
"408","Eucalyptus suspension","grains/ml","concentration","NA","Laboratory analyses","LABO","Eucalyptus suspension|concentration|grains/ml",
"409","Eucalyptus suspension","ml","quantity added","NA","Laboratory analyses","LABO","Eucalyptus suspension|quantity added|ml",
"40912","Eucalyptus suspension","number","quantity added","NA","Laboratory analyses","LABO","NA",
"874","Eucalyptus tablets","number","quantity added","NA","Laboratory analyses","LABO","NA",
"1460","Eucalyptus tablets","grains/tablet","concentration","NA","Laboratory analyses","LABO","NA",
"5275","Eucalyptus tablets","grains/g","concentration","NA","Laboratory analyses","LABO","Eucalyptus tablets|concentration|grains/g",
"5276","Eucalyptus tablets","number","quantity added","NA","Laboratory analyses","LABO","Eucalyptus tablets|quantity added|number",
"8539","Eucalyptus tablets","g","quantity added","NA","Laboratory analyses","LABO","Eucalyptus tablets|quantity added|g",
"8540","Eucalyptus tablets","grains/tablet","concentration","NA","Laboratory analyses","LABO","Eucalyptus tablets|concentration|grains/tablet",
"3498","Lycopodium spike","number","counted","NA","Laboratory analyses","LABO","NA",
"3613","Lycopodium spike","number","counted","NA","Laboratory analyses","LABO","Lycopodium spike",
"7716","Lycopodium spike","number","counted","NA","Laboratory analyses","LABO","Lycopodium spike|counted|number",
"7717","Lycopodium spike","number","quantity added","NA","Laboratory analyses","LABO","Lycopodium spike|quantity added|number",
"51601","Lycopodium spike","NISP","spore","NA","Laboratory analyses","LABO","NA",
"15023","Lycopodium suspension","grains/ml","concentration","NA","Laboratory analyses","LABO","Lycopodium suspension|concentration|grains/ml",
"15024","Lycopodium suspension","ml","quantity added","NA","Laboratory analyses","LABO","Lycopodium suspension|quantity added|ml",
"35816","Lycopodium suspension","grains/g","concentration","NA","Laboratory analyses","LABO","Lycopodium suspension|concentration|grains/g",
"1994","Lycopodium tablets","grains/tablet","concentration","NA","Laboratory analyses","LABO","Lycopodium tablets|concentration|grains/tablet",
"1995","Lycopodium tablets","number","quantity added","NA","Laboratory analyses","LABO","Lycopodium tablets|quantity added|number",
"3881","Lycopodium tablets","number","quantity added","NA","Laboratory analyses","LABO","Lycopodium tablets",
"13243","Lycopodium tablets","number","quantity added","NA","Laboratory analyses","LABO","NA",
"37203","Lycopodium tablets","grains/ml","concentration","NA","Laboratory analyses","LABO","Lycopodium tablets|concentration|grains/ml",
"1183","Microsphere suspension","ml","quantity added","NA","Laboratory analyses","LABO","Microsphere suspension|quantity added|ml",
"1184","Microsphere suspension","number/ml","concentration","NA","Laboratory analyses","LABO","Microsphere suspension|concentration|number/ml",
"1182","Microspheres","number","counted","NA","Laboratory analyses","LABO","Microspheres",
"1523","Microspheres","number","counted","NA","Laboratory analyses","LABO","NA",
"39768","Microspheres","NISP","counted","NA","Laboratory analyses","LABO","Microspheres",
"49980","Microspheres","NISP","counted","NA","Laboratory analyses","LABO","NA",
"50337","Microspheres","grains/ml","counted","NA","Laboratory analyses","LABO","NA",
"4813","Other preservation classes","NISP","pollen/spore","NA","Laboratory analyses","LABO","Other preservation classes",
"487","Pollen concentration","grains/ml","Jorgensen method","NA","Laboratory analyses","LABO","Pollen concentration",
"1268","Pollen concentration","grains/ml","NA","NA","Laboratory analyses","LABO","NA",
"3405","Pollen concentration","grains/ml","Eucalyptus method","NA","Laboratory analyses","LABO","Pollen concentration",
